T01 pineapple,milk
T02 pineapple,mangoes,cherry
T03 milk,cherry,flowerpot
T04 fries,bounty,books,cherry
T05 books,flowerpot,chocolates
T06 pineapple,books,cherry,flowerpot
T07 pineapple,fries,DVD,mangoes,bounty
T08 DVD,chocolates,fries
T09 bounty,mangoes,flowerpot
T10 milk,mangoes,flowerpot,fries
T11 bounty,cherry
T12 pineapple,DVD,books,chocolates
T13 milk,chocolates,bounty
T14 mangoes,books,bounty,fries,chocolates
T15 DVD,books,chocolates
T16 pineapple,bounty,flowerpot
T17 DVD,cherry,books,fries,chocolates
T18 mangoes,books,chocolates
T19 pineapple,milk,cherry,chocolates,DVD
T20 milk,fries,books,flowerpot
