T01 tomatoes,onions,cake
T02 cake,onions,blueberry,tomatoes
T03 cheese,cake,shrimp,chicken
T04 chicken,cheese,bread,tomatoes
T05 bread,blueberry,onions,chicken
T06 blueberry,grapes,eggs,apples
T07 eggs,chicken,bananas
T08 bread,blueberry,bananas
T09 grapes,tomatoes,onions
T10 cheese,onions,cake
T11 blueberry,cake,tomatoes
T12 shrimp,cheese,cake
T13 cheese,bread,blueberry
T14 bread,grapes,cheese
T15 bread,chicken,cheese,bananas
T16 shrimp,chicken,onions
T17 onions,blueberry,shrimp,eggs
T18 eggs,tomatoes,shrimp
T19 shrimp,eggs,tomatoes
T20 cake,cheese,bread
