T01 apple,brush
T02 apple,clothes,glue
T03 brush,glue,inkpot
T04 eraser,fan,hummus,glue
T05 hummus,inkpot,jelly
T06 apple,hummus,glue,inkpot
T07 apple,eraser,disc,clothes,fan
T08 disc,jelly,eraser
T09 fan,clothes,inkpot
T10 brush,clothes,inkpot,eraser
T11 fan,glue
T12 apple,disc,hummus,jelly
T13 brush,jelly,fan
T14 clothes,hummus,fan,eraser,jelly
T15 disc,hummus,jelly
T16 apple,fan,inkpot
T17 disc,glue,hummus,eraser,jelly
T18 clothes,hummus,jelly
T19 apple,brush,glue,jelly,disc
T20 brush,eraser,hummus,inkpot
